X,Y,id,
-105.076148260382,39.0180639682116,,
-105.075986018538,39.0181207666736,,
-105.07590724519,39.0180792433271,,
-105.075959298037,39.018051807987,,
-105.075948372864,39.0180291380299,,
-105.075939864058,39.0180007972312,,
-105.07585625915,39.0179715604074,,
-105.075801799031,39.018013170435,,
-105.075746094369,39.0180236002735,,
-105.075752044572,39.0179243842271,,
-105.075862181935,39.0178468326677,,
-105.075904529807,39.0178052304922,,
-105.076040125444,39.0177493943897,,
-105.076077710338,39.0177843303704,,
