Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],CV-0.5m,IV-0.5m
106,73017.967,-105.07615204,39.01806015,16.133,-0.025
107,73018.140,-105.07615343,39.01805862,4.648,-0.365
108,73018.306,-105.07615473,39.01805718,-1.992,-0.500
109,73018.486,-105.07615614,39.01805562,-6.953,-0.536
110,73018.653,-105.07615745,39.01805417,-10.156,-0.655
111,73018.820,-105.07615875,39.01805273,-12.422,-0.752
112,73018.987,-105.07616006,39.01805128,-10.664,-0.796
113,73019.167,-105.07616158,39.01804992,-11.133,-0.847
114,73019.333,-105.07616300,39.01804867,-12.578,-0.824
115,73019.530,-105.07616467,39.01804719,-13.320,-0.820
116,73019.727,-105.07616634,39.01804572,-13.711,-0.838
117,73019.909,-105.07616789,39.01804435,-11.523,-0.791
118,73020.106,-105.07616964,39.01804276,-11.953,-0.848
119,73020.321,-105.07617161,39.01804094,-12.852,-0.845
120,73020.553,-105.07617374,39.01803896,-13.516,-0.792
121,73020.750,-105.07617554,39.01803729,-14.609,-0.812
122,73020.963,-105.07617750,39.01803548,-13.320,-0.753
123,73021.180,-105.07617961,39.01803366,-14.023,-0.741
124,73021.377,-105.07618154,39.01803203,-13.984,-0.786
125,73021.574,-105.07618348,39.01803038,-14.453,-0.759
126,73021.770,-105.07618541,39.01802875,-14.453,-0.772
127,73021.967,-105.07618735,39.01802710,-14.609,-0.796
128,73022.154,-105.07618938,39.01802560,-12.617,-0.728
129,73022.339,-105.07619145,39.01802412,-12.383,-0.742
130,73022.539,-105.07619368,39.01802252,-13.320,-0.763
131,73022.723,-105.07619574,39.01802105,-14.336,-0.737
132,73022.908,-105.07619781,39.01801957,-14.336,-0.787
133,73023.084,-105.07619950,39.01801825,-13.398,-0.797
134,73023.264,-105.07620095,39.01801699,-9.570,-0.740
135,73023.417,-105.07620217,39.01801592,-9.961,-0.816
136,73023.584,-105.07620351,39.01801475,-11.797,-0.832
137,73023.750,-105.07620484,39.01801358,-12.578,-0.772
138,73023.931,-105.07620628,39.01801232,-13.867,-0.810
139,73024.121,-105.07620829,39.01801080,-13.008,-0.786
140,73024.327,-105.07621076,39.01800905,-12.812,-0.739
141,73024.551,-105.07621345,39.01800715,-13.867,-0.766
142,73024.759,-105.07621594,39.01800539,-15.234,-0.707
143,73024.948,-105.07621821,39.01800377,-15.547,-0.691
144,73025.156,-105.07622047,39.01800196,-14.883,-0.772
145,73025.343,-105.07622243,39.01800030,-12.188,-0.745
146,73025.531,-105.07622441,39.01799864,-11.250,-0.751
147,73025.734,-105.07622654,39.01799685,-11.797,-0.813
148,73025.922,-105.07622851,39.01799519,-13.398,-0.805
149,73026.109,-105.07623035,39.01799343,-14.414,-0.773
150,73026.281,-105.07623196,39.01799174,-14.844,-0.825
151,73026.484,-105.07623385,39.01798974,-13.867,-0.798
152,73026.672,-105.07623561,39.01798789,-13.242,-0.769
153,73026.859,-105.07623735,39.01798605,-13.086,-0.809
154,73027.049,-105.07623916,39.01798417,-14.492,-0.803
155,73027.262,-105.07624129,39.01798204,-14.609,-0.763
156,73027.459,-105.07624325,39.01798008,-15.117,-0.804
157,73027.672,-105.07624538,39.01797795,-13.867,-0.812
158,73027.836,-105.07624703,39.01797630,-12.773,-0.782
159,73028.041,-105.07624915,39.01797415,-13.125,-0.821
160,73028.202,-105.07625110,39.01797210,-14.648,-0.816
161,73028.378,-105.07625320,39.01796988,-14.805,-0.788
162,73028.541,-105.07625515,39.01796782,-14.922,-0.836
163,73028.702,-105.07625710,39.01796577,-14.062,-0.838
164,73028.865,-105.07625905,39.01796371,-13.086,-0.821
165,73029.037,-105.07626097,39.01796164,-13.438,-0.854
166,73029.259,-105.07626283,39.01795945,-14.375,-0.845
167,73029.481,-105.07626468,39.01795727,-14.727,-0.823
