time,lon,lat,CV-1.0m,IV-1.0m,CV-0.5m,IV-0.5m,LineNumber,Smoothed_CV-1.0m,Smoothed_IV-1.0m,Smoothed_CV-0.5m,Smoothed_IV-0.5m,Smoothed_CV-1.0m_corrected,Smoothed_IV-1.0m_corrected,Smoothed_CV-0.5m_corrected,Smoothed_IV-0.5m_corrected
72998.014,-105.07602598,39.01820896,6.367,-0.33,-13.242,-0.82,Line 1,6.0447500000000005,-0.32125000000000004,-14.63875,-0.8372499999999999,6.0447500000000005,-0.32125000000000004,-14.63875,-0.8372499999999999
72998.178,-105.07602579,39.01820844,5.703,-0.316,-14.297,-0.841,Line 1,5.953,-0.318,-14.961000000000002,-0.8362,5.953,-0.318,-14.961000000000002,-0.8362
72998.329,-105.07602562,39.01820796,5.742,-0.325,-14.961,-0.848,Line 1,5.885333333333333,-0.31466666666666665,-15.071666666666667,-0.8353333333333333,5.885333333333333,-0.31466666666666665,-15.071666666666667,-0.8353333333333333
72998.507,-105.07602541,39.0182074,6.367,-0.314,-16.055,-0.84,Line 1,5.809142857142858,-0.3162857142857143,-15.083714285714285,-0.8351428571428572,5.809142857142858,-0.3162857142857143,-15.083714285714285,-0.8351428571428572
72998.671,-105.07602522,39.01820687,5.586,-0.305,-16.25,-0.832,Line 1,5.753428571428572,-0.31471428571428567,-15.435285714285714,-0.8341428571428571,5.753428571428572,-0.31471428571428567,-15.435285714285714,-0.8341428571428571
72998.849,-105.07602501,39.01820631,5.547,-0.298,-15.625,-0.831,Line 1,5.759,-0.3151428571428571,-15.636142857142858,-0.8237142857142857,5.759,-0.3151428571428571,-15.636142857142858,-0.8237142857142857
72999.017,-105.07602477,39.01820584,5.352,-0.326,-15.156,-0.834,Line 1,5.792571428571429,-0.3182857142857142,-15.742142857142856,-0.8142857142857142,5.792571428571429,-0.3182857142857142,-15.742142857142856,-0.8142857142857142
72999.236,-105.07602401,39.01820595,5.977,-0.319,-15.703,-0.813,Line 1,5.742428571428571,-0.32228571428571423,-15.569142857142856,-0.8028571428571427,5.742428571428571,-0.32228571428571423,-15.569142857142856,-0.8028571428571427
72999.454,-105.07602324,39.01820606,5.742,-0.319,-15.703,-0.768,Line 1,5.865142857142857,-0.3217142857142857,-15.35157142857143,-0.7869999999999999,5.865142857142857,-0.3217142857142857,-15.35157142857143,-0.7869999999999999
72999.673,-105.07602248,39.01820617,5.977,-0.347,-15.703,-0.782,Line 1,5.987857142857144,-0.32557142857142857,-15.228857142857143,-0.775,5.987857142857144,-0.32557142857142857,-15.228857142857143,-0.775
72999.891,-105.07602172,39.01820628,6.016,-0.342,-14.844,-0.76,Line 1,6.132857142857143,-0.3228571428571429,-15.262428571428572,-0.7665714285714286,6.132857142857143,-0.3228571428571429,-15.262428571428572,-0.7665714285714286
73000.09,-105.07602183,39.01820567,6.445,-0.301,-14.727,-0.721,Line 1,6.1160000000000005,-0.32,-15.117428571428572,-0.764,6.1160000000000005,-0.32,-15.117428571428572,-0.764
73000.284,-105.07602289,39.01820425,6.406,-0.325,-14.766,-0.747,Line 1,6.149571428571428,-0.3218571428571429,-14.911,-0.772,6.149571428571428,-0.3218571428571429,-14.911,-0.772
73000.462,-105.07602388,39.01820294,6.367,-0.307,-15.391,-0.775,Line 1,6.099285714285714,-0.3157142857142857,-14.754714285714286,-0.7717142857142857,6.099285714285714,-0.3157142857142857,-14.754714285714286,-0.7717142857142857
73000.642,-105.07602486,39.01820163,5.859,-0.299,-14.688,-0.795,Line 1,6.004428571428572,-0.30671428571428566,-15.664285714285713,-0.7620000000000001,6.004428571428572,-0.30671428571428566,-15.664285714285713,-0.7620000000000001
73000.836,-105.07602593,39.0182002,5.977,-0.332,-14.258,-0.824,Line 1,5.7868571428571425,-0.307,-16.506857142857143,-0.7531428571428572,5.7868571428571425,-0.307,-16.506857142857143,-0.7531428571428572
73001.017,-105.07602694,39.01819884,5.625,-0.304,-14.609,-0.78,Line 1,5.625,-0.3061428571428571,-16.930857142857143,-0.7437142857142858,5.625,-0.3061428571428571,-16.930857142857143,-0.7437142857142858
73001.2,-105.07602803,39.01819714,5.352,-0.279,-21.211,-0.692,Line 1,5.524571428571428,-0.30942857142857144,-17.064714285714285,-0.7335714285714285,5.524571428571428,-0.30942857142857144,-17.064714285714285,-0.7335714285714285
73001.4,-105.07602923,39.01819526,4.922,-0.303,-20.625,-0.659,Line 1,5.541428571428571,-0.3201428571428572,-17.237571428571428,-0.7302857142857143,5.541428571428571,-0.3201428571428572,-17.237571428571428,-0.7302857142857143
73001.617,-105.07603053,39.01819324,5.273,-0.319,-17.734,-0.681,Line 1,5.6082857142857145,-0.3361428571428572,-17.65042857142857,-0.7354285714285715,5.6082857142857145,-0.3361428571428572,-17.65042857142857,-0.7354285714285715
73001.818,-105.07603174,39.01819137,5.664,-0.33,-16.328,-0.704,Line 1,5.6082857142857145,-0.3745714285714286,-17.940714285714286,-0.7532857142857142,5.6082857142857145,-0.3745714285714286,-17.940714285714286,-0.7532857142857142
73002.032,-105.07603314,39.01818941,5.977,-0.374,-15.898,-0.772,Line 1,5.675142857142857,-0.4231428571428571,-17.19857142857143,-0.787,5.675142857142857,-0.4231428571428571,-17.19857142857143,-0.787
73002.219,-105.07603491,39.01818791,6.445,-0.444,-17.148,-0.86,Line 1,5.848142857142856,-0.454,-16.612571428571428,-0.8227142857142857,5.848142857142856,-0.454,-16.612571428571428,-0.8227142857142857
73002.407,-105.0760367,39.01818641,5.625,-0.573,-16.641,-0.905,Line 1,5.898428571428572,-0.47828571428571426,-16.478714285714286,-0.8515714285714286,5.898428571428572,-0.47828571428571426,-16.478714285714286,-0.8515714285714286
73002.579,-105.07603833,39.01818503,5.82,-0.619,-16.016,-0.928,Line 1,5.926285714285714,-0.5031428571428571,-16.478714285714283,-0.8790000000000001,5.926285714285714,-0.5031428571428571,-16.478714285714283,-0.8790000000000001
